64.9045 -100 64.4855  -0.11241 0.988555 0.100616  
36.2351 -100 92.7755  0.0422478 0.998777 -0.0256896  
90.6822 -100 118.271  -0.0280008 0.99944 0.0183147  
45.0802 -100 109.925  0.0403361 0.996035 -0.0792915  
60.8292 -100 135.336  -0.0122251 0.999799 -0.0158858  
22.784 -100 73.4177  0.0768578 0.996761 -0.0236934  
32.7855 -100 127.62  0.00736567 0.997181 -0.0746712  
74.2009 -100 71.1042  -0.0472823 0.989923 0.133482  
54.502 -100 117.022  0.0237513 0.998058 -0.0575814  
59.4759 -100 137.807  0.0688979 0.99694 -0.036935  
24.6332 -100 89.4433  0.00496283 0.998377 0.0567401  
7.80288 -100 98.1067  0.0215223 0.99699 -0.0744825  
83.5854 -100 90.6122  -0.0225177 0.993665 0.110106  
45.1032 -100 144.297  -0.0588656 0.997912 -0.0265612  
55.6317 -100 119.346  -0.0915136 0.990497 -0.102668  
15.5747 -100 108.261  0.0745347 0.996173 -0.04564  
20.327 -100 103.582  0.0162091 0.998784 -0.0465642  
100.326 -100 154.993  0.00311646 0.999737 -0.0227113  
25.1462 -100 100.772  -0.0235518 0.997935 0.0597518  
67.2184 -100 121.157  -0.0350847 0.997306 -0.0644248  
80.6161 -100 98.3894  -0.0814065 0.995508 0.0483462  
93.1912 -100 94.0521  -0.0251622 0.99447 0.101964  
-8.04758 -100 126.264  0.0337197 0.99905 -0.0275933  
66.4949 -100 123.753  0.0418883 0.994376 -0.0972747  
44.0239 -100 121.536  0.0131786 0.999866 0.00972421  
31.2787 -100 120.875  -0.0485238 0.992373 -0.113318  
79.7363 -100 148.823  0.00598449 0.999344 -0.0357244  
47.2133 -100 117.157  -0.0663882 0.99759 0.0201454  
58.7697 -100 132.806  -0.0412517 0.99898 -0.0183717  
81.7365 -100 111.291  -0.00017261 0.999907 -0.0136153  
-3.16379 -100 83.2497  0.0290089 0.999574 0.00311141  
58.3262 -100 86.9207  -0.034093 0.996946 0.0702591  
26.1917 -100 88.7582  0.0969179 0.995123 -0.0183825  
54.3157 -100 89.2428  -0.0503078 0.997294 -0.0536162  
62.5246 -100 71.2457  -0.0128929 0.998666 0.0500005  
93.1774 -100 126.41  -0.0320394 0.997073 -0.0694202  
31.2731 -100 98.6963  0.0761257 0.994274 -0.0749886  
25.7937 -100 117.627  0.122467 0.992472 -0.00114517  
72.8538 -100 122.286  -0.0396847 0.989214 -0.141  
71.7142 -100 67.5365  0.0233666 0.999611 0.0152512  
43.9417 -100 100.506  0.0124832 0.997802 0.0650851  
54.595 -100 92.2986  -0.0649256 0.994407 0.0833022  
